titulo: Q4base
tipo de elemento: QUAD4
parametro da fronteira: 0.85
coordenadas dos nos
204 2.1842 0.3359
205 2.1649 0.2621
206 2.1482 0.1874
207 2.0782 0.2175
208 2.1028 0.2832
209 2.1181 0.3529
210 2.0509 0.3633
211 2.0473 0.3002
212 1.9820 0.0791
213 2.0508 0.0671
214 2.2805 0.7290
215 2.0983 0.0000
216 1.9966 0.0000
217 1.9884 0.9000
218 2.0814 0.9000
219 2.1744 0.9000
220 2.2674 0.9000
221 2.3605 0.9000
222 2.4226 0.5796
223 2.3592 0.5300
224 2.3107 0.4656
225 2.2737 0.3939
226 2.2457 0.3183
227 2.2251 0.2403
228 2.2110 0.1609
229 2.2027 0.0806
230 2.2000 0.0000
matriz de incidencias/conetividades
187
1 1 4 1 22 30 26
2 1 4 1 26 25 2
3 1 4 2 25 24 3
4 1 4 3 24 23 4
5 1 4 4 23 29 17
6 1 4 4 17 18 5
7 1 4 5 18 19 6
8 1 4 6 19 27 13
9 1 4 6 13 14 7
10 1 4 7 14 15 8
11 1 4 8 15 16 9
12 1 4 9 16 28 20
13 1 4 9 20 21 10
14 1 4 10 21 22 1
15 1 4 11 8 9 10
16 1 4 11 10 1 2
17 1 4 12 3 4 5
18 1 4 12 5 6 7
19 1 4 11 2 3 12
20 1 4 11 12 7 8
21 1 4 31 49 54 50
22 1 4 31 50 53 38
23 1 4 33 45 46 32
24 1 4 33 32 41 42
25 1 4 34 43 52 37
26 1 4 34 37 51 44
27 1 4 33 42 43 34
28 1 4 33 34 44 45
29 1 4 35 40 41 32
30 1 4 35 32 46 47
31 1 4 36 48 49 31
32 1 4 36 31 38 39
33 1 4 35 47 48 36
34 1 4 35 36 39 40
35 1 4 57 23 24 59
36 1 4 60 55 58 61
37 1 4 60 61 57 59
38 1 4 66 103 107 94
39 1 4 66 94 95 62
40 1 4 65 108 103 66
41 1 4 65 66 62 63
42 1 4 67 64 92 93
43 1 4 67 93 106 104
44 1 4 65 63 64 67
45 1 4 65 67 104 108
46 1 4 70 25 26 71
47 1 4 71 26 30 89
48 1 4 72 91 92 64
49 1 4 74 63 62 68
50 1 4 69 73 74 68
51 1 4 72 64 63 74
52 1 4 73 75 72 74
53 1 4 79 59 24 25
54 1 4 79 25 70 78
55 1 4 77 60 59 79
56 1 4 78 76 77 79
57 1 4 81 55 60 77
58 1 4 81 77 76 80
59 1 4 97 98 55 81
60 1 4 97 81 80 96
61 1 4 68 62 95 96
62 1 4 68 96 80 69
63 1 4 99 100 56 58
64 1 4 99 58 55 98
65 1 4 88 29 23 83
66 1 4 88 83 82 87
67 1 4 102 105 87 82
68 1 4 56 100 101 84
69 1 4 101 102 82 84
70 1 4 61 58 56 85
71 1 4 86 83 23 57
72 1 4 57 61 85 86
73 1 4 90 91 72 75
74 1 4 80 76 78 69
75 1 4 69 78 70 73
76 1 4 73 70 71 75
77 1 4 75 71 89 90
78 1 4 86 85 56 84
79 1 4 84 82 83 86
80 1 4 147 148 110 111
81 1 4 147 111 161 171
82 1 4 119 152 153 120
83 1 4 120 153 154 121
84 1 4 121 154 107 103
85 1 4 121 103 108 122
86 1 4 122 108 104 123
87 1 4 123 104 106 155
88 1 4 123 155 156 124
89 1 4 124 156 157 114
90 1 4 124 114 115 125
91 1 4 125 115 116 126
92 1 4 126 116 117 119
93 1 4 123 124 125 128
94 1 4 125 126 127 128
95 1 4 123 128 127 122
96 1 4 120 121 122 127
97 1 4 120 127 126 119
98 1 4 129 114 157 158
99 1 4 129 158 159 130
100 1 4 130 159 172 170
101 1 4 130 170 169 131
102 1 4 131 169 168 132
103 1 4 132 168 167 133
104 1 4 133 167 166 134
105 1 4 134 166 165 112
106 1 4 134 112 113 135
107 1 4 135 113 109 118
108 1 4 135 118 117 136
109 1 4 136 117 116 137
110 1 4 137 116 115 138
111 1 4 138 115 114 129
112 1 4 133 134 135 136
113 1 4 133 136 137 132
114 1 4 138 129 130 131
115 1 4 138 131 132 137
116 1 4 112 165 164 139
117 1 4 140 110 109 113
118 1 4 140 113 112 139
119 1 4 142 160 161 144
120 1 4 161 111 143 144
121 1 4 142 144 143 141
122 1 4 140 139 141 143
123 1 4 140 143 111 110
124 1 4 162 173 160 142
125 1 4 141 139 164 163
126 1 4 141 163 162 142
127 1 4 148 149 109 110
128 1 4 109 149 150 145
129 1 4 146 118 109 145
130 1 4 146 145 150 151
131 1 4 146 151 152 119
132 1 4 146 119 117 118
133 1 4 184 183 180 181
134 1 4 184 181 219 220
135 1 4 185 186 221 51
136 1 4 185 51 37 182
137 1 4 184 220 221 186
138 1 4 187 175 176 179
139 1 4 187 179 180 183
140 1 4 182 37 52 222
141 1 4 188 182 222 223
142 1 4 188 223 224 175
143 1 4 188 175 187 189
144 1 4 191 170 172 217
145 1 4 218 219 181 190
146 1 4 218 190 191 217
147 1 4 193 169 170 191
148 1 4 190 181 180 192
149 1 4 190 192 193 191
150 1 4 194 178 167 168
151 1 4 194 168 169 193
152 1 4 195 179 176 177
153 1 4 195 177 178 194
154 1 4 192 180 179 195
155 1 4 192 195 194 193
156 1 4 174 229 230 215
157 1 4 198 197 163 164
158 1 4 198 164 165 199
159 1 4 199 165 166 200
160 1 4 200 166 167 178
161 1 4 200 178 177 201
162 1 4 201 177 176 202
163 1 4 202 176 175 203
164 1 4 203 175 224 225
165 1 4 203 225 226 204
166 1 4 204 226 227 205
167 1 4 205 227 228 206
168 1 4 206 228 229 174
169 1 4 206 174 196 207
170 1 4 207 196 197 198
171 1 4 205 206 207 208
172 1 4 209 202 203 204
173 1 4 209 204 205 208
174 1 4 210 199 200 201
175 1 4 210 201 202 209
176 1 4 208 207 198 211
177 1 4 198 199 210 211
178 1 4 208 211 210 209
179 1 4 212 216 173 162
180 1 4 212 162 163 197
181 1 4 196 174 215 213
182 1 4 215 216 212 213
183 1 4 196 213 212 197
184 1 4 189 185 182 188
185 1 4 183 184 186 214
186 1 4 186 185 189 214
187 1 4 189 187 183 214
propriedades material
1
1 1000
Fontes/carregamentos distribuídos
0
Condição fronteira essencial
85
13 0.4500
14 0.9000
15 1.3500
16 1.8000
27 0.0000
28 2.2500
17 0.0000
18 0.0000
19 0.0000
27 0.0000
29 0.0000
38 0.0000
39 0.0000
40 0.0000
41 0.0000
42 0.0000
43 0.0000
52 0.0000
53 0.0000
87 0.0000
88 0.0000
94 0.0000
95 0.0000
96 0.0000
97 0.0000
98 0.0000
99 0.0000
100 0.0000
101 0.0000
102 0.0000
105 0.0000
107 0.0000
147 0.0000
148 0.0000
149 0.0000
150 0.0000
151 0.0000
152 0.0000
153 0.0000
154 0.0000
160 0.0000
161 0.0000
171 0.0000
173 0.0000
215 0.0000
216 0.0000
222 0.0000
223 0.0000
224 0.0000
225 0.0000
226 0.0000
227 0.0000
228 0.0000
229 0.0000
230 0.0000
20 2.2500
21 2.2500
22 2.2500
28 2.2500
30 2.2500
44 2.2500
45 2.2500
46 2.2500
47 2.2500
48 2.2500
49 2.2500
51 2.2500
54 2.2500
89 2.2500
90 2.2500
91 2.2500
92 2.2500
93 2.2500
106 2.2500
155 2.2500
156 2.2500
157 2.2500
158 2.2500
159 2.2500
172 2.2500
217 2.2500
218 2.2500
219 2.2500
220 2.2500
221 2.2500
Fontes/cargas pontuais impostas
0
Fluxo imposto na fronteira
0
CF convecção natural
0
