titulo: Q8base
tipo de elemento: QUAD8
parametro da fronteira: 0.7
coordenadas dos nos
15 1 8 33 32 63 64 48 50 68 49
16 1 8 72 62 31 52 69 51 40 54
17 1 8 63 32 31 62 50 42 51 70
18 1 8 157 78 22 29 81 82 23 158
19 1 8 76 21 22 78 84 25 82 83
20 1 8 77 76 162 163 86 87 164 85
21 1 8 78 161 162 76 88 165 87 83
22 1 8 205 80 157 203 89 90 159 172
23 1 8 79 80 205 169 92 89 170 91
24 1 8 79 78 157 80 93 81 90 92
25 1 8 78 79 160 161 93 94 166 88
26 1 8 169 204 160 79 171 167 94 91
27 1 8 76 77 28 21 86 95 24 84
28 1 8 163 202 28 77 168 156 95 85
29 1 8 173 99 208 206 106 107 185 177
30 1 8 182 101 205 203 108 109 172 183
31 1 8 100 169 205 101 111 170 109 110
32 1 8 169 100 176 204 111 112 178 171
33 1 8 207 187 98 182 188 114 113 184
34 1 8 187 186 96 98 189 116 115 114
35 1 8 100 102 175 176 117 118 179 112
36 1 8 101 103 102 100 119 120 117 110
37 1 8 182 98 103 101 113 121 119 108
38 1 8 102 103 98 96 120 121 115 122
39 1 8 173 174 97 99 180 124 123 106
40 1 8 104 186 208 99 126 190 107 125
41 1 8 105 96 186 104 128 116 126 127
42 1 8 105 104 99 97 127 125 123 129
43 1 8 102 96 174 175 122 130 181 118
44 1 8 97 174 96 105 124 130 128 129
45 1 8 186 132 209 208 138 139 191 190
46 1 8 132 133 197 209 140 141 198 139
47 1 8 73 195 134 52 199 143 142 53
48 1 8 195 196 131 134 200 145 144 143
49 1 8 196 197 133 131 201 141 146 145
50 1 8 52 134 192 72 142 147 193 54
51 1 8 137 135 133 132 149 150 140 148
52 1 8 187 137 132 186 151 148 138 189
53 1 8 135 136 131 133 152 153 146 150
54 1 8 192 134 131 136 147 144 153 154
55 1 8 187 207 135 137 188 155 149 151
56 1 8 135 207 192 136 155 194 154 152
propriedades material
1
1 1000
Fontes/carregamentos distribuídos
0
Condição fronteira essencial
81
10 0.7500
11 1.5000
12 1.8750
13 0.3750
14 1.1250
26 0.0000
27 2.2500
15 0.0000
16 0.0000
17 0.0000
26 0.0000
28 0.0000
55 0.0000
56 0.0000
57 0.0000
58 0.0000
59 0.0000
60 0.0000
61 0.0000
73 0.0000
74 0.0000
156 0.0000
160 0.0000
161 0.0000
162 0.0000
163 0.0000
164 0.0000
165 0.0000
166 0.0000
167 0.0000
168 0.0000
173 0.0000
174 0.0000
175 0.0000
176 0.0000
177 0.0000
178 0.0000
179 0.0000
180 0.0000
181 0.0000
185 0.0000
191 0.0000
195 0.0000
196 0.0000
197 0.0000
198 0.0000
199 0.0000
200 0.0000
201 0.0000
202 0.0000
204 0.0000
206 0.0000
208 0.0000
209 0.0000
18 2.2500
19 2.2500
20 2.2500
27 2.2500
29 2.2500
62 2.2500
63 2.2500
64 2.2500
65 2.2500
66 2.2500
67 2.2500
68 2.2500
69 2.2500
70 2.2500
72 2.2500
75 2.2500
157 2.2500
158 2.2500
159 2.2500
182 2.2500
183 2.2500
184 2.2500
192 2.2500
193 2.2500
194 2.2500
203 2.2500
207 2.2500
Fontes/cargas pontuais impostas
0
Fluxo imposto na fronteira
0
CF convecção natural
0
